island,cand,phase,seed,gen,declared_parent,actual_origin_op,valid_same_genome_base,evidence
2,p2g3_053_s3,seed3,966,3,p2g3_053,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_070_s3,seed3,966,3,p2g3_070,merge_slow_tanh,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_032_s3,seed3,966,3,p2g3_032,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_049_s3,seed3,966,3,p2g3_049,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_060_s3,seed3,966,3,p2g3_060,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_066_s3,seed3,966,3,p2g3_066,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g3_004_s3,seed3,966,3,p2g3_004,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_061_s3,seed3,966,4,p2g4_061,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_048_s2,seed2,965,5,p2g5_048,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_019_s2,seed2,965,5,p2g5_019,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_049_s2,seed2,965,5,p2g5_049,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_022_s2,seed2,965,5,p2g5_022,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_058_s2,seed2,965,5,p2g5_058,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_015_s2,seed2,965,5,p2g5_015,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_039_s2,seed2,965,5,p2g5_039,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_061_s2,seed2,965,5,p2g5_061,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_003_s3,seed3,966,4,p2g4_003,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_040_s3,seed3,966,4,p2g4_040,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_046_s3,seed3,966,4,p2g4_046,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_065_s2,seed2,965,5,p2g5_065,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_054_s2,seed2,965,5,p2g5_054,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_038_s2,seed2,965,5,p2g5_038,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_014_s2,seed2,965,5,p2g5_014,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_049_s3,seed3,966,4,p2g4_049,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_027_s2,seed2,965,5,p2g5_027,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_059_s2,seed2,965,5,p2g5_059,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_037_s2,seed2,965,5,p2g5_037,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_033_s2,seed2,965,5,p2g5_033,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g5_012_s2,seed2,965,5,p2g5_012,mutate,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_033_s3,seed3,966,4,p2g4_033,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
2,p2g4_058_s3,seed3,966,4,p2g4_058,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
