island,gen,C9_mode,n,status_ok,status_no_blobs,status_fail_g0a,c9_measured_n,c9_partial_n,c9_full_n,c9_missing_n,c9_mean,c9_median,c9_max,preserved_i2_mean,preserved_i2_median,descriptor_bins_observed,unique_ghashes,strict_economy_class_n,common_I025_mean,common_I025_median,common_I025_max,qualifying_025_n,qualifying_025_per_all_n,qualifying_025_descriptor_bins,qualifying_025_strict_economy_class_n,common_I040_mean,common_I040_median,common_I040_max,qualifying_040_n,qualifying_040_per_all_n,qualifying_040_descriptor_bins,qualifying_040_strict_economy_class_n
2,4,partial,81,81,0,0,81,81,0,0,0.26325432098765433,0.3092,0.6314,50.691943101986574,59.663906560636526,48,80,0,44.600315351181294,52.746840295526084,72.18414461952425,17,0.20987654320987653,14,0,40.945338700698116,48.600541238150505,69.77883200041252,14,0.1728395061728395,13,0
2,4,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,4,missing,16,0,9,7,0,0,0,16,,,,,,0,16,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,5,all,95,76,10,9,76,76,0,19,0.2633684210526316,0.29215,0.6699,53.930432029544036,63.78755546952352,47,94,0,47.03203454847382,55.348207784201136,73.81793425191171,17,0.17894736842105263,13,0,42.89299605983168,50.569553366953215,69.39800771360865,15,0.15789473684210525,11,0
2,5,partial,76,76,0,0,76,76,0,0,0.2633684210526316,0.29215,0.6699,53.930432029544036,63.78755546952352,47,75,0,47.03203454847382,55.348207784201136,73.81793425191171,17,0.2236842105263158,13,0,42.89299605983168,50.569553366953215,69.39800771360865,15,0.19736842105263158,11,0
2,5,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,5,missing,19,0,10,9,0,0,0,19,,,,,,0,19,0,,,,0,0.0,0,0,,,,0,0.0,0,0
2,6,all,99,83,10,6,83,83,0,16,0.24360602409638554,0.2617,0.6371,53.13605612108431,61.14422304907422,51,97,0,45.94219269322287,51.41933135013161,74.08333135551501,23,0.23232323232323232,19,0,41.625874636506005,49.92255998825962,71.09844760354635,20,0.20202020202020202,17,0
2,6,partial,83,83,0,0,83,83,0,0,0.24360602409638554,0.2617,0.6371,53.13605612108431,61.14422304907422,51,81,0,45.94219269322287,51.41933135013161,74.08333135551501,23,0.27710843373493976,19,0,41.625874636506005,49.92255998825962,71.09844760354635,20,0.24096385542168675,17,0
2,6,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
