island,cohort,phase,C9_mode,n,status_ok,status_no_blobs,status_fail_g0a,c9_measured_n,c9_partial_n,c9_full_n,c9_missing_n,c9_mean,c9_median,c9_max,preserved_i2_mean,preserved_i2_median,descriptor_bins_observed,unique_ghashes,strict_economy_class_n,common_I025_mean,common_I025_median,common_I025_max,qualifying_025_n,qualifying_025_per_all_n,qualifying_025_descriptor_bins,qualifying_025_strict_economy_class_n,common_I040_mean,common_I040_median,common_I040_max,qualifying_040_n,qualifying_040_per_all_n,qualifying_040_descriptor_bins,qualifying_040_strict_economy_class_n
2,transition_g8,verified_same_genome_confirmations,all,38,38,0,0,38,38,0,0,0.21748947368421054,0.0589,0.6824,54.85957783036538,48.73495340661974,25,18,0,46.5819202148793,39.41013773420504,76.44908612774213,12,0.3157894736842105,7,0,41.615325645587646,33.96511018736403,73.65126890219372,11,0.2894736842105263,6,0
2,transition_g8,verified_same_genome_confirmations,partial,38,38,0,0,38,38,0,0,0.21748947368421054,0.0589,0.6824,54.85957783036538,48.73495340661974,25,18,0,46.5819202148793,39.41013773420504,76.44908612774213,12,0.3157894736842105,7,0,41.615325645587646,33.96511018736403,73.65126890219372,11,0.2894736842105263,6,0
2,transition_g8,verified_same_genome_confirmations,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,late_g9_12,screen,all,277,262,12,3,262,262,0,15,0.30063740458015265,0.36595,0.7038,56.47492344546913,62.03225971037669,127,266,0,49.87212769860566,54.057130361159494,79.23685663762029,66,0.23826714801444043,31,0,45.910450250487585,50.46806671695982,76.3971654745781,56,0.20216606498194944,27,0
2,late_g9_12,screen,partial,262,262,0,0,262,262,0,0,0.30063740458015265,0.36595,0.7038,56.47492344546913,62.03225971037669,127,251,0,49.87212769860566,54.057130361159494,79.23685663762029,66,0.25190839694656486,31,0,45.910450250487585,50.46806671695982,76.3971654745781,56,0.21374045801526717,27,0
2,late_g9_12,screen,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,late_g9_12,seed2,all,67,67,0,0,67,67,0,0,0.2216402985074627,0.1037,0.7123,52.61475917315673,51.87813183208244,59,66,0,45.00207684255411,46.63247087364334,80.97484941872247,12,0.1791044776119403,11,0,40.43446744419254,40.708129630534465,77.29387953497798,11,0.16417910447761194,10,0
2,late_g9_12,seed2,partial,67,67,0,0,67,67,0,0,0.2216402985074627,0.1037,0.7123,52.61475917315673,51.87813183208244,59,66,0,45.00207684255411,46.63247087364334,80.97484941872247,12,0.1791044776119403,11,0,40.43446744419254,40.708129630534465,77.29387953497798,11,0.16417910447761194,10,0
2,late_g9_12,seed2,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,late_g9_12,seed3,all,65,65,0,0,65,65,0,0,0.2198446153846154,0.0824,0.6606,52.65843397048649,52.99315596176577,58,64,0,44.98994086248025,46.56814903856122,76.81008392470758,11,0.16923076923076924,10,0,40.38884499767651,41.2116777265218,73.65126890219372,10,0.15384615384615385,9,0
2,late_g9_12,seed3,partial,65,65,0,0,65,65,0,0,0.2198446153846154,0.0824,0.6606,52.65843397048649,52.99315596176577,58,64,0,44.98994086248025,46.56814903856122,76.81008392470758,11,0.16923076923076924,10,0,40.38884499767651,41.2116777265218,73.65126890219372,10,0.15384615384615385,9,0
2,late_g9_12,seed3,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,late_g9_12,selected_confirmations_pooled,all,132,132,0,0,132,132,0,0,0.2207560606060606,0.09834999999999999,0.7123,52.63626570214487,52.157010054313304,84,66,0,44.99610079176016,46.57670576657195,80.97484941872247,23,0.17424242424242425,14,0,40.412001845529346,40.959903678528136,77.29387953497798,21,0.1590909090909091,13,0
2,late_g9_12,selected_confirmations_pooled,partial,132,132,0,0,132,132,0,0,0.2207560606060606,0.09834999999999999,0.7123,52.63626570214487,52.157010054313304,84,66,0,44.99610079176016,46.57670576657195,80.97484941872247,23,0.17424242424242425,14,0,40.412001845529346,40.959903678528136,77.29387953497798,21,0.1590909090909091,13,0
2,late_g9_12,selected_confirmations_pooled,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,late_g9_12,verified_same_genome_confirmations,all,132,132,0,0,132,132,0,0,0.2207560606060606,0.09834999999999999,0.7123,52.63626570214487,52.157010054313304,84,66,0,44.99610079176016,46.57670576657195,80.97484941872247,23,0.17424242424242425,14,0,40.412001845529346,40.959903678528136,77.29387953497798,21,0.1590909090909091,13,0
2,late_g9_12,verified_same_genome_confirmations,partial,132,132,0,0,132,132,0,0,0.2207560606060606,0.09834999999999999,0.7123,52.63626570214487,52.157010054313304,84,66,0,44.99610079176016,46.57670576657195,80.97484941872247,23,0.17424242424242425,14,0,40.412001845529346,40.959903678528136,77.29387953497798,21,0.1590909090909091,13,0
2,late_g9_12,verified_same_genome_confirmations,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,continuation_g8_12,screen,all,359,342,13,4,342,342,0,17,0.30580730994152044,0.37175,0.7038,56.86596410327227,62.694153493786736,141,333,0,50.294655825992216,55.07846476071691,79.23685663762029,93,0.2590529247910863,33,0,46.35187085962418,51.75775646837732,76.3971654745781,78,0.21727019498607242,29,0
2,continuation_g8_12,screen,partial,342,342,0,0,342,342,0,0,0.30580730994152044,0.37175,0.7038,56.86596410327227,62.694153493786736,141,316,0,50.294655825992216,55.07846476071691,79.23685663762029,93,0.2719298245614035,33,0,46.35187085962418,51.75775646837732,76.3971654745781,78,0.22807017543859648,29,0
2,continuation_g8_12,screen,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,continuation_g8_12,seed2,all,86,86,0,0,86,86,0,0,0.22145,0.0852,0.7123,53.26360455921121,51.56141984228384,71,83,0,45.48395341940841,46.03384758914575,80.97484941872247,19,0.22093023255813954,14,0,40.816162735526724,40.52218877252663,77.29387953497798,17,0.19767441860465115,12,0
2,continuation_g8_12,seed2,partial,86,86,0,0,86,86,0,0,0.22145,0.0852,0.7123,53.26360455921121,51.56141984228384,71,83,0,45.48395341940841,46.03384758914575,80.97484941872247,19,0.22093023255813954,14,0,40.816162735526724,40.52218877252663,77.29387953497798,17,0.19767441860465115,12,0
2,continuation_g8_12,seed2,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,continuation_g8_12,seed3,all,84,84,0,0,84,84,0,0,0.21856785714285715,0.06815,0.6606,52.999774263629085,52.621231824382875,72,81,0,45.214027126293246,46.360715394858474,76.81008392470758,16,0.19047619047619047,12,0,40.54257884389174,40.38759903796164,73.65126890219372,15,0.17857142857142858,12,0
2,continuation_g8_12,seed3,partial,84,84,0,0,84,84,0,0,0.21856785714285715,0.06815,0.6606,52.999774263629085,52.621231824382875,72,81,0,45.214027126293246,46.360715394858474,76.81008392470758,16,0.19047619047619047,12,0,40.54257884389174,40.38759903796164,73.65126890219372,15,0.17857142857142858,12,0
2,continuation_g8_12,seed3,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,continuation_g8_12,selected_confirmations_pooled,all,170,170,0,0,170,170,0,0,0.22002588235294118,0.07595,0.7123,53.13324135433534,52.04701335361785,103,83,0,45.35057807457503,46.360715394858474,80.97484941872247,35,0.20588235294117646,18,0,40.68098010671885,40.389333985195826,77.29387953497798,32,0.18823529411764706,16,0
2,continuation_g8_12,selected_confirmations_pooled,partial,170,170,0,0,170,170,0,0,0.22002588235294118,0.07595,0.7123,53.13324135433534,52.04701335361785,103,83,0,45.35057807457503,46.360715394858474,80.97484941872247,35,0.20588235294117646,18,0,40.68098010671885,40.389333985195826,77.29387953497798,32,0.18823529411764706,16,0
2,continuation_g8_12,selected_confirmations_pooled,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,continuation_g8_12,verified_same_genome_confirmations,all,170,170,0,0,170,170,0,0,0.22002588235294118,0.07595,0.7123,53.13324135433534,52.04701335361785,103,83,0,45.35057807457503,46.360715394858474,80.97484941872247,35,0.20588235294117646,18,0,40.68098010671885,40.389333985195826,77.29387953497798,32,0.18823529411764706,16,0
2,continuation_g8_12,verified_same_genome_confirmations,partial,170,170,0,0,170,170,0,0,0.22002588235294118,0.07595,0.7123,53.13324135433534,52.04701335361785,103,83,0,45.35057807457503,46.360715394858474,80.97484941872247,35,0.20588235294117646,18,0,40.68098010671885,40.389333985195826,77.29387953497798,32,0.18823529411764706,16,0
2,continuation_g8_12,verified_same_genome_confirmations,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,all_g1_12,screen,all,1045,904,86,55,904,896,8,141,0.2833606194690266,0.32445,0.7576,54.9806883706733,62.76260073535991,230,967,7,48.31953176473064,54.71928178829582,79.23685663762029,235,0.22488038277511962,51,2,44.32283780116504,50.46806671695982,76.3971654745781,201,0.1923444976076555,42,1
2,all_g1_12,screen,partial,896,896,0,0,896,896,0,0,0.2821324776785714,0.32320000000000004,0.7576,54.874868229953094,62.69559847783172,224,825,0,48.209463114429106,54.302958780004914,79.23685663762029,233,0.26004464285714285,49,0,44.21022004511471,50.29259792897106,76.3971654745781,200,0.22321428571428573,41,0
2,all_g1_12,screen,full,8,8,0,0,8,0,8,0,0.4209125,0.40354999999999996,0.5673,66.83254413133643,65.89424588064529,6,7,7,60.64722059850232,60.371854121057396,70.20738417665058,2,0.25,2,2,56.93602647880186,55.227603528209045,64.08390734132047,1,0.125,1,1
2,all_g1_12,seed2,all,325,324,1,0,324,324,0,1,0.2643283950617284,0.28705,0.8048,57.61720587339705,61.017318744222536,178,312,0,49.821114281590994,52.986979267123985,80.97484941872247,79,0.24307692307692308,37,0,45.14345932650736,46.9380218169909,77.29387953497798,70,0.2153846153846154,34,0
2,all_g1_12,seed2,partial,324,324,0,0,324,324,0,0,0.2643283950617284,0.28705,0.8048,57.61720587339705,61.017318744222536,178,311,0,49.821114281590994,52.986979267123985,80.97484941872247,79,0.24382716049382716,37,0,45.14345932650736,46.9380218169909,77.29387953497798,70,0.21604938271604937,34,0
2,all_g1_12,seed2,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,all_g1_12,seed3,all,301,301,0,0,301,301,0,0,0.2542189368770764,0.2775,0.6606,58.30286080441441,61.147536163097,171,287,0,50.08261902523772,52.123725434289376,79.54612455659745,68,0.22591362126245848,33,0,45.1504739577317,47.449801107844564,76.81889964527797,61,0.2026578073089701,29,0
2,all_g1_12,seed3,partial,301,301,0,0,301,301,0,0,0.2542189368770764,0.2775,0.6606,58.30286080441441,61.147536163097,171,287,0,50.08261902523772,52.123725434289376,79.54612455659745,68,0.22591362126245848,33,0,45.1504739577317,47.449801107844564,76.81889964527797,61,0.2026578073089701,29,0
2,all_g1_12,seed3,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,all_g1_12,selected_confirmations_pooled,all,626,625,1,0,625,625,0,1,0.25945968,0.2793,0.8048,57.947417288175004,61.113404089348954,237,319,0,49.947054966131255,52.67483397798287,80.97484941872247,147,0.23482428115015974,43,0,45.14683757290501,47.03565015620343,77.29387953497798,131,0.20926517571884984,40,0
2,all_g1_12,selected_confirmations_pooled,partial,625,625,0,0,625,625,0,0,0.25945968,0.2793,0.8048,57.947417288175004,61.113404089348954,237,318,0,49.947054966131255,52.67483397798287,80.97484941872247,147,0.2352,43,0,45.14683757290501,47.03565015620343,77.29387953497798,131,0.2096,40,0
2,all_g1_12,selected_confirmations_pooled,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
2,all_g1_12,verified_same_genome_confirmations,all,618,617,1,0,617,617,0,1,0.2593594813614263,0.2796,0.8048,57.76056318159991,61.01527770250168,234,312,0,49.804409420235594,52.23587398856378,80.97484941872247,145,0.23462783171521034,43,0,45.030717163416995,46.93628713888827,77.29387953497798,130,0.21035598705501618,40,0
2,all_g1_12,verified_same_genome_confirmations,partial,617,617,0,0,617,617,0,0,0.2593594813614263,0.2796,0.8048,57.76056318159991,61.01527770250168,234,311,0,49.804409420235594,52.23587398856378,80.97484941872247,145,0.23500810372771475,43,0,45.030717163416995,46.93628713888827,77.29387953497798,130,0.2106969205834684,40,0
