island,cohort,op,W9,base_candidates_n,unique_ghashes,screen_status_ok_n,screen_status_ok_rate,screen_partial_n,screen_full_n,screen_missing_C9_n,screen_success_n,screen_success_rate,screen_partial_success_n,screen_full_success_n,selected_declared_n,selected_valid_n,complete_valid_pairs_n,declared_pairs_n,invalid_confirmation_rows,any_seed_success_n,any_confirmed_n,any_confirmed_per_all_bases,any_confirmed_per_selected,screen_plus_any_confirmed_n,robust_three_seeds_n,robust_per_all_bases,robust_per_complete_valid_pairs,robust_partial_only_n,robust_partial_per_all_bases
both,late_g9_12,mutate,0.25,176,176,166,0.9431818181818182,166,0,10,31,0.17613636363636365,31,0,51,51,49,49,0,34,9,0.05113636363636364,0.17647058823529413,6,5,0.028409090909090908,0.10204081632653061,5,0.028409090909090908
both,late_g9_12,mutate,0.4,176,176,166,0.9431818181818182,166,0,10,27,0.1534090909090909,27,0,51,51,49,49,0,30,7,0.03977272727272727,0.13725490196078433,4,4,0.022727272727272728,0.08163265306122448,4,0.022727272727272728
both,continuation_g8_12,ALL,0.25,723,678,679,0.9391424619640387,679,0,44,186,0.2572614107883817,186,0,198,198,191,191,0,197,45,0.06224066390041494,0.22727272727272727,34,29,0.040110650069156296,0.1518324607329843,29,0.040110650069156296
both,continuation_g8_12,ALL,0.4,723,678,679,0.9391424619640387,679,0,44,159,0.21991701244813278,159,0,198,198,191,191,0,169,42,0.058091286307053944,0.21212121212121213,32,27,0.03734439834024896,0.14136125654450263,27,0.03734439834024896
both,continuation_g8_12,add_chan,0.25,80,80,78,0.975,78,0,2,14,0.175,14,0,27,27,25,25,0,15,4,0.05,0.14814814814814814,3,2,0.025,0.08,2,0.025
both,continuation_g8_12,add_chan,0.4,80,80,78,0.975,78,0,2,12,0.15,12,0,27,27,25,25,0,13,4,0.05,0.14814814814814814,3,2,0.025,0.08,2,0.025
both,continuation_g8_12,delete_bilin,0.25,40,33,40,1.0,40,0,0,15,0.375,15,0,10,10,10,10,0,16,5,0.125,0.5,4,3,0.075,0.3,3,0.075
both,continuation_g8_12,delete_bilin,0.4,40,33,40,1.0,40,0,0,14,0.35,14,0,10,10,10,10,0,14,4,0.1,0.4,4,3,0.075,0.3,3,0.075
both,continuation_g8_12,immigrate,0.25,50,50,20,0.4,20,0,30,0,0.0,0,0,1,1,1,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,continuation_g8_12,immigrate,0.4,50,50,20,0.4,20,0,30,0,0.0,0,0,1,1,1,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,continuation_g8_12,merge_cross_edge,0.25,75,75,75,1.0,75,0,0,18,0.24,18,0,26,26,26,26,0,18,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,continuation_g8_12,merge_cross_edge,0.4,75,75,75,1.0,75,0,0,12,0.16,12,0,26,26,26,26,0,12,0,0.0,0.0,0,0,0.0,0.0,0,0.0
both,continuation_g8_12,merge_slow_tanh,0.25,24,24,24,1.0,24,0,0,6,0.25,6,0,7,7,7,7,0,6,1,0.041666666666666664,0.14285714285714285,1,1,0.041666666666666664,0.14285714285714285,1,0.041666666666666664
both,continuation_g8_12,merge_slow_tanh,0.4,24,24,24,1.0,24,0,0,4,0.16666666666666666,4,0,7,7,7,7,0,4,1,0.041666666666666664,0.14285714285714285,1,1,0.041666666666666664,0.14285714285714285,1,0.041666666666666664
both,continuation_g8_12,merge_spatial_ic,0.25,70,34,70,1.0,70,0,0,28,0.4,28,0,19,19,18,18,0,30,6,0.08571428571428572,0.3157894736842105,4,4,0.05714285714285714,0.2222222222222222,4,0.05714285714285714
both,continuation_g8_12,merge_spatial_ic,0.4,70,34,70,1.0,70,0,0,22,0.3142857142857143,22,0,19,19,18,18,0,25,6,0.08571428571428572,0.3157894736842105,3,3,0.04285714285714286,0.16666666666666666,3,0.04285714285714286
both,continuation_g8_12,mint_bilin,0.25,176,176,176,1.0,176,0,0,71,0.4034090909090909,71,0,44,44,43,43,0,75,19,0.10795454545454546,0.4318181818181818,15,13,0.07386363636363637,0.3023255813953488,13,0.07386363636363637
both,continuation_g8_12,mint_bilin,0.4,176,176,176,1.0,176,0,0,65,0.3693181818181818,65,0,44,44,43,43,0,68,19,0.10795454545454546,0.4318181818181818,16,13,0.07386363636363637,0.3023255813953488,13,0.07386363636363637
both,continuation_g8_12,mutate,0.25,208,208,196,0.9423076923076923,196,0,12,34,0.16346153846153846,34,0,64,64,61,61,0,37,10,0.04807692307692308,0.15625,7,6,0.028846153846153848,0.09836065573770492,6,0.028846153846153848
both,continuation_g8_12,mutate,0.4,208,208,196,0.9423076923076923,196,0,12,30,0.14423076923076922,30,0,64,64,61,61,0,33,8,0.038461538461538464,0.125,5,5,0.02403846153846154,0.08196721311475409,5,0.02403846153846154
both,all_g1_12,ALL,0.25,2099,1929,1806,0.8604097189137685,1793,13,293,467,0.22248689852310624,461,6,694,694,626,637,11,522,193,0.09194854692710815,0.2780979827089337,138,96,0.045736064792758456,0.15335463258785942,95,0.04525964745116722
both,all_g1_12,ALL,0.4,2099,1929,1806,0.8604097189137685,1793,13,293,400,0.19056693663649357,396,4,694,694,626,637,11,450,172,0.08194378275369224,0.2478386167146974,122,82,0.03906622201048118,0.13099041533546327,81,0.03858980466888995
both,all_g1_12,add_chan,0.25,192,192,188,0.9791666666666666,188,0,4,40,0.20833333333333334,40,0,87,87,78,82,4,49,24,0.125,0.27586206896551724,15,10,0.052083333333333336,0.1282051282051282,10,0.052083333333333336
both,all_g1_12,add_chan,0.4,192,192,188,0.9791666666666666,188,0,4,38,0.19791666666666666,38,0,87,87,78,82,4,44,21,0.109375,0.2413793103448276,15,8,0.041666666666666664,0.10256410256410256,8,0.041666666666666664
both,all_g1_12,delete_bilin,0.25,96,63,96,1.0,96,0,0,34,0.3541666666666667,34,0,31,31,28,29,1,36,12,0.125,0.3870967741935484,10,8,0.08333333333333333,0.2857142857142857,8,0.08333333333333333
